0	1
0.5	1
1	1
1.29204	0.999993
1.50968	1.00003
1.67188	0.999867
1.79276	1.00063
1.88284	0.996835
1.94997	1.01778
2	0.75389
2.05062	0.0773933
2.11876	0.285258
2.21046	-0.0316993
2.33388	0.0905011
2.5	-0.00900265
2.66612	0.0755154
2.78954	0.110441
2.88124	0.296186
2.94938	0.577714
3	1.07094
3.05003	1.11403
3.11716	1.0712
3.20724	1.11377
3.32812	1.07147
3.49032	1.1135
3.70796	1.07173
4	1.11325
4.29204	1.07198
4.50968	1.113
4.67188	1.07223
4.79276	1.11275
4.88284	1.07247
4.94997	1.11251
5	1.07271
5.05062	1.23919
5.11876	1.35107
5.21046	1.5561
5.33388	1.69477
5.5	1.86116
5.66612	1.85914
5.78954	1.83483
5.88124	1.7406
5.94938	1.68519
6	1.59767
6.05003	1.54349
6.11716	1.43982
6.20724	1.34583
6.32812	1.20357
6.49032	1.06389
6.70796	0.884736
7	0.702545
7.5	0.437414
8	0.218519
