0	0.993779	0.00632131
0.001	0.993817	0.00628261
0.002	0.993855	0.00624398
0.003	0.993893	0.00620544
0.004	0.993931	0.00616697
0.005	0.993969	0.00612859
0.006	0.994007	0.00609028
0.007	0.994045	0.00605205
0.008	0.994083	0.0060139
0.009	0.99412	0.00597582
0.01	0.994158	0.00593783
0.011	0.994195	0.00589991
0.012	0.994233	0.00586208
0.013	0.99427	0.00582432
0.014	0.994307	0.00578664
0.015	0.994344	0.00574903
0.016	0.994381	0.00571151
0.017	0.994418	0.00567406
0.018	0.994455	0.0056367
0.019	0.994492	0.00559941
0.02	0.994529	0.0055622
0.021	0.994566	0.00552507
0.022	0.994602	0.00548802
0.023	0.994639	0.00545104
0.024	0.994675	0.00541415
0.025	0.994712	0.00537733
0.026	0.994748	0.00534059
0.027	0.994784	0.00530393
0.028	0.99482	0.00526735
0.029	0.994856	0.00523085
0.03	0.994892	0.00519442
0.031	0.994928	0.00515808
0.032	0.994964	0.00512181
0.033	0.995	0.00508562
0.034	0.995035	0.00504951
0.035	0.995071	0.00501348
0.036	0.995106	0.00497753
0.037	0.995142	0.00494165
0.038	0.995177	0.00490585
0.039	0.995213	0.00487014
0.04	0.995248	0.0048345
0.041	0.995283	0.00479894
0.042	0.995318	0.00476345
0.043	0.995353	0.00472805
0.044	0.995388	0.00469273
0.045	0.995423	0.00465748
0.046	0.995457	0.00462231
0.047	0.995492	0.00458722
0.048	0.995526	0.00455221
0.049	0.995561	0.00451728
0.05	0.995595	0.00448242
0.051	0.99563	0.00444765
0.052	0.995664	0.00441295
0.053	0.995698	0.00437833
0.054	0.995732	0.00434379
0.055	0.995766	0.00430933
0.056	0.9958	0.00427495
0.057	0.995834	0.00424064
0.058	0.995868	0.00420642
0.059	0.995902	0.00417227
0.06	0.995935	0.0041382
0.061	0.995969	0.00410421
0.062	0.996002	0.0040703
0.063	0.996036	0.00403646
0.064	0.996069	0.00400271
0.065	0.996102	0.00396903
0.066	0.996135	0.00393543
0.067	0.996168	0.00390192
0.068	0.996201	0.00386847
0.069	0.996234	0.00383511
0.07	0.996267	0.00380183
0.071	0.9963	0.00376862
0.072	0.996333	0.0037355
0.073	0.996365	0.00370245
0.074	0.996398	0.00366948
0.075	0.99643	0.00363659
0.076	0.996462	0.00360377
0.077	0.996495	0.00357104
0.078	0.996527	0.00353838
0.079	0.996559	0.00350581
