0	1
2	0.736639
3	1.05171
5	1.10276
6	1.6316
8	0.220553
1	1
2.5	0.0244786
4	1.11762
5.5	1.94614
7	0.699894
0.5	0.999998
2.05062	0.140204
2.11876	0.185004
2.21046	0.0480867
2.33388	0.0405711
3.05003	1.14731
3.11716	1.07108
3.20724	1.13272
3.32812	1.08245
3.49032	1.12365
3.70796	1.08981
5.05062	1.26864
5.11876	1.4428
5.21046	1.63505
5.33388	1.81253
6.05003	1.5389
6.11716	1.43441
6.20724	1.31309
6.32812	1.1815
6.49032	1.03517
6.70796	0.878493
1.29204	0.999983
1.50968	1.00006
1.67188	0.999743
1.79276	1.00109
1.88284	0.994992
1.94997	1.02698
2.66612	0.0593374
2.78954	0.135856
2.88124	0.278892
2.94938	0.538307
4.29204	1.09479
4.50968	1.11346
4.67188	1.09829
4.79276	1.1105
4.88284	1.10082
4.94997	1.1083
5.66612	1.9625
5.78954	1.90481
5.88124	1.81591
5.94938	1.72243
7.5	0.454706
