-0.6	-0.2	0	-0.0708778	-0.12
-0.6	-0.1	0	-0.0419336	-0.06
-0.6	-1.38778e-16	0	-0.0214486	-6.66134e-17
-0.6	0.1	0	-0.0045928	0.06
-0.6	0.2	0	0.0132416	0.12
-0.6	0.3	0	0.035701	0.18
-0.6	0.4	0	0.0653877	0.24
-0.6	0.5	0	0.104081	0.3
-0.6	0.6	0	0.152902	0.36
-0.6	0.7	0	0.212343	0.42
-0.6	0.8	0	0.282225	0.48
-0.6	0.9	0	0.36167	0.54
-0.6	1	0	0.449134	0.6
-0.6	1.1	2	0.542557	0.66
-0.6	1.2	2	0.639639	0.72
-0.6	1.3	2	0.738208	0.78
-0.6	1.4	2	0.836563	0.84
-0.6	1.5	2	0.933578	0.9
-0.6	1.6	2	1.02826	0.96
-0.6	1.7	2	1.11838	1.02
-0.6	1.8	2	1.19831	1.08
-0.6	1.9	2	1.25775	1.14
-0.6	2	2	1.28519	1.2

-0.5	-1	-1	-0.373871	-0.5
-0.5	-0.9	-1	-0.356358	-0.45
-0.5	-0.8	-1	-0.327771	-0.4
-0.5	-0.7	-1	-0.288265	-0.35
-0.5	-0.6	-1	-0.240317	-0.3
-0.5	-0.5	-1	-0.188692	-0.25
-0.5	-0.4	0	-0.139154	-0.2
-0.5	-0.3	0	-0.0964511	-0.15
-0.5	-0.2	0	-0.0627759	-0.1
-0.5	-0.1	0	-0.0375279	-0.05
-0.5	-1.38778e-16	0	-0.0181351	-5.55112e-17
-0.5	0.1	0	-0.00116021	0.05
-0.5	0.2	0	0.0168573	0.1
-0.5	0.3	0	0.0389458	0.15
-0.5	0.4	0	0.0675184	0.2
-0.5	0.5	0	0.104315	0.25
-0.5	0.6	0	0.150369	0.3
-0.5	0.7	0	0.205963	0.35
-0.5	0.8	0	0.27057	0.4
-0.5	0.9	0	0.342819	0.45
-0.5	1	0	0.420523	0.5
-0.5	1.1	2	0.500817	0.55
-0.5	1.2	2	0.580422	0.6
-0.5	1.3	2	0.656019	0.65
-0.5	1.4	2	0.72465	0.7
-0.5	1.5	2	0.784074	0.75
-0.5	1.6	2	0.832987	0.8
-0.5	1.7	2	0.871056	0.85
-0.5	1.8	2	0.898803	0.9
-0.5	1.9	2	0.917379	0.95
-0.5	2	2	0.928296	1

-0.4	-1	0	-0.228999	-0.4
-0.4	-0.9	0	-0.222873	-0.36
-0.4	-0.8	0	-0.215867	-0.32
-0.4	-0.7	0	-0.201613	-0.28
-0.4	-0.6	0	-0.177097	-0.24
-0.4	-0.5	0	-0.144301	-0.2
-0.4	-0.4	0	-0.108456	-0.16
-0.4	-0.3	0	-0.0750979	-0.12
-0.4	-0.2	0	-0.0477689	-0.08
-0.4	-0.1	0	-0.027157	-0.04
-0.4	-1.38778e-16	0	-0.0114636	-4.44089e-17
-0.4	0.1	0	0.00256339	0.04
-0.4	0.2	0	0.0184154	0.08
-0.4	0.3	0	0.0389804	0.12
-0.4	0.4	0	0.0663083	0.16
-0.4	0.5	0	0.101689	0.2
-0.4	0.6	0	0.145712	0.24
-0.4	0.7	0	0.198227	0.28
-0.4	0.8	0	0.258263	0.32
-0.4	0.9	0	0.323951	0.36
-0.4	1	0	0.392527	0.4
-0.4	1.1	0	0.460435	0.44
-0.4	1.2	0	0.523549	0.48
-0.4	1.3	0	0.577531	0.52
